2025-01-29 18:35:17.474553, 109.118.115.176, Bologna, Emilia-Romagna, IT
2025-01-29 18:53:33.701891, 109.118.115.176, Bologna, Emilia-Romagna, IT
2025-01-29 19:29:02.749371, 109.118.115.176, Bologna, Emilia-Romagna, IT
2025-01-29 21:03:33.419093, 109.118.115.176, Bologna, Emilia-Romagna, IT
2025-01-31 12:38:06.063545, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 12:38:50.507029, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 12:39:35.79524, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 12:40:06.080789, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 12:40:43.353296, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 12:41:46.437745, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 12:42:57.092286, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:33:06.327672, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:39:52.33751, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:41:18.563506, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:42:25.123965, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:43:41.721827, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:47:31.11037, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:47:58.748188, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:48:44.420509, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:49:27.430851, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:50:01.214499, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 13:50:38.883307, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 14:45:25.641659, 109.118.117.45, Bologna, Emilia-Romagna, IT
2025-01-31 14:45:38.586946, 109.118.117.45, Bologna, Emilia-Romagna, IT
